id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2478415,40.6807543,-74.0096149,90,10,9,10,9,9,9,2.37
13740470,40.66948742,-73.92837482,93,10,9,10,10,9,10,2.37
258284,40.68618274,-73.96143683,97,10,10,10,10,9,10,2.37
18593003,40.81744918,-73.93674373,90,10,9,10,10,9,9,2.38
18286031,40.70786624,-73.90961493,96,10,10,10,10,9,10,2.38
15203803,40.72846449,-73.9500935,95,10,9,10,10,9,9,2.39
8664611,40.62858991,-74.12271938,97,10,10,10,10,9,10,2.39
19407599,40.8022088,-73.9651437,85,10,6,9,9,9,9,2.4
14414440,40.62535977,-74.07695703,92,10,10,10,10,9,10,2.4
9826628,40.69122062,-73.94001212,95,10,9,10,10,9,9,2.4
17813440,40.81998878,-73.94683077,100,10,10,10,10,9,10,2.4
17450196,40.75275591,-73.93102003,86,10,9,9,9,9,9,2.41
7717598,40.67982384,-73.91347296,94,10,9,10,10,9,9,2.41
10144140,40.68593995,-73.91448092,93,10,9,10,10,9,9,2.43
15774166,40.78697452,-73.94469304,94,10,10,10,10,9,9,2.44
